service_id,date,exception_type
11-157,20231107,1
11-157,20231108,1
11-157,20231109,1
11-157,20231110,1
11-157,20231113,1
11-157,20231114,1
11-157,20231115,1
11-157,20231116,1
11-157,20231117,1
11-157,20231120,1
11-157,20231121,1
11-157,20231122,1
11-157,20231127,1
11-157,20231128,1
11-157,20231129,1
11-157,20231130,1
11-157,20231201,1
11-157,20231204,1
11-157,20231205,1
11-157,20231206,1
11-157,20231207,1
11-157,20231208,1
11-157,20231211,1
11-157,20231212,1
11-157,20231213,1
11-157,20231214,1
11-157,20231215,1
11-157,20231218,1
11-157,20231219,1
11-157,20231220,1
11-157,20231221,1
11-157,20231222,1
11-157,20231226,1
11-157,20231227,1
11-157,20231228,1
11-157,20231229,1
11-157,20240102,1
11-157,20240103,1
11-157,20240104,1
11-157,20240105,1
11-157,20240108,1
11-157,20240109,1
11-157,20240110,1
11-157,20240111,1
11-157,20240112,1
12-157,20231004,1
13-157,20230910,1
14-157,20230917,1
14-157,20230924,1
15-157,20231007,1
16-157,20231006,1
16-157,20231013,1
17-157,20231007,1
17-157,20231014,1
18-157,20231008,1
18-157,20231015,1
19-157,20230906,1
19-157,20230913,1
19-157,20230920,1
19-157,20230927,1
19-157,20231004,1
19-157,20231011,1
19-157,20231018,1
19-157,20231025,1
19-157,20231101,1
19-157,20231108,1
19-157,20231115,1
19-157,20231122,1
19-157,20231129,1
19-157,20231206,1
19-157,20231213,1
19-157,20231220,1
19-157,20231227,1
19-157,20240103,1
19-157,20240110,1
20-157,20230831,1
20-157,20230907,1
20-157,20230914,1
20-157,20230921,1
20-157,20230928,1
20-157,20231005,1
20-157,20231012,1
20-157,20231019,1
20-157,20231026,1
20-157,20231102,1
20-157,20231109,1
20-157,20231116,1
20-157,20231130,1
20-157,20231207,1
20-157,20231214,1
20-157,20231221,1
20-157,20231228,1
20-157,20240104,1
20-157,20240111,1
21-157,20230901,1
21-157,20230908,1
21-157,20230915,1
21-157,20230922,1
21-157,20230929,1
21-157,20231006,1
21-157,20231013,1
21-157,20231020,1
21-157,20231027,1
21-157,20231103,1
21-157,20231110,1
21-157,20231117,1
21-157,20231201,1
21-157,20231208,1
21-157,20231215,1
21-157,20231222,1
21-157,20231229,1
21-157,20240105,1
21-157,20240112,1
22-157,20230911,1
22-157,20230918,1
22-157,20230925,1
22-157,20231002,1
22-157,20231009,1
22-157,20231016,1
22-157,20231023,1
22-157,20231030,1
22-157,20231106,1
22-157,20231113,1
22-157,20231120,1
22-157,20231127,1
22-157,20231204,1
22-157,20231211,1
22-157,20231218,1
22-157,20240108,1
23-157,20230831,1
23-157,20230905,1
23-157,20230906,1
23-157,20230907,1
23-157,20230911,1
23-157,20230912,1
23-157,20230913,1
23-157,20230914,1
23-157,20230918,1
23-157,20230919,1
23-157,20230920,1
23-157,20230921,1
23-157,20230925,1
23-157,20230926,1
23-157,20230927,1
23-157,20230928,1
23-157,20231002,1
23-157,20231003,1
23-157,20231005,1
23-157,20231009,1
23-157,20231010,1
23-157,20231011,1
23-157,20231012,1
23-157,20231016,1
23-157,20231017,1
23-157,20231018,1
23-157,20231019,1
23-157,20231023,1
23-157,20231024,1
23-157,20231025,1
23-157,20231026,1
23-157,20231030,1
23-157,20231101,1
23-157,20231102,1
23-157,20231106,1
23-157,20231107,1
23-157,20231108,1
23-157,20231109,1
23-157,20231113,1
23-157,20231114,1
23-157,20231115,1
23-157,20231116,1
23-157,20231120,1
23-157,20231121,1
23-157,20231122,1
23-157,20231127,1
23-157,20231128,1
23-157,20231129,1
23-157,20231130,1
23-157,20231204,1
23-157,20231205,1
23-157,20231206,1
23-157,20231207,1
23-157,20231211,1
23-157,20231212,1
23-157,20231213,1
23-157,20231214,1
23-157,20231218,1
23-157,20231219,1
23-157,20231220,1
23-157,20231221,1
23-157,20231226,1
23-157,20231227,1
23-157,20231228,1
23-157,20240102,1
23-157,20240103,1
23-157,20240104,1
23-157,20240108,1
23-157,20240109,1
23-157,20240110,1
23-157,20240111,1
24-157,20230901,1
24-157,20230908,1
24-157,20230915,1
24-157,20230922,1
24-157,20230929,1
24-157,20231004,1
24-157,20231006,1
